ISO3,GDP.PPP.2011USD,GDP.currUSD,GDP.currLCU,Currency.Name,Currency.Code
TWN,53023,25008,749239.68,New Taiwan Dollar,NTD
AFG,1734.7232141583913,520.8966027191353,37680.81812451049,Afghani,AFN
AGO,5725.327237745161,3432.3857360089282,867898.2979485528,Kwanza,AOA
ALB,12316.071501045493,5268.848503559188,568978.7348205539,Lek,ALL
ARB,15591.530208526592,6608.806977722024,NA,NA,NA
ARE,66616.050283165,43004.95335848479,157935.69120903537,UAE Dirham,AED
ARG,18288.24459893454,11683.949621636286,328260.56461987144,Argentine Peso,ARS
ARM,9177.74415916106,4212.070942729374,2034388.1446288603,Armenian Dram,AMD
ATG,23840.7298964163,16726.980807947926,45162.848181459405,East Caribbean Dollar,XCD
AUS,45377.755143005976,57373.686684128115,74017.79319119368,Australian Dollar,AUD
AUT,46260.38238261992,51461.95478046773,43597.866720801554,Euro,EUR
AZE,16010.989036315957,4721.178086731416,8026.002747443407,Azerbaijanian Manat,AZN
BDI,660.3303410248283,271.7520443766482,484501.28487823857,Burundi Franc,BIF
BEL,43582.128395957094,47518.636038891425,40257.14082598703,Euro,EUR
BEN,2151.5431695121797,901.5438712063575,500759.387858022,CFA Franc BCEAO,XOF
BFA,1761.2347568507585,715.12290404614,397406.526966132,CFA Franc BCEAO,XOF
BGD,3879.161524106848,1698.2628023354723,139472.88951484486,Taka,BDT
BGR,19320.75123386187,9272.629303608483,15364.746756079256,Bulgarian Lev,BGN
BHR,41973.11293375695,24050.757505395646,9043.084822028763,Bahraini Dinar,BHD
BHS,28472.20046337623,32217.87159008401,32217.87159008401,Bahamian Dollar,BSD
BIH,12711.839767364208,6065.6727082415755,10050.81967755629,Convertible Mark,BAM
BLR,17741.862230639403,6289.938553082122,12816.37879576013,Belarussian Ruble,BYN
BLZ,7673.653586985394,4884.74242133376,9769.48484266752,Belize Dollar,BZD
BOL,6986.046487472445,3548.59013979338,24520.757865972257,Boliviano,BOB
BOL,6986.046487472445,3548.59013979338,24520.757865972257,Mvdol,BOV
BRA,14282.717007580904,8920.762104629792,32594.680577896335,Brazilian Real,BRL
BRB,16463.51743383933,17949.281505437113,35898.563010874226,Barbados Dollar,BBD
BRN,71802.27171978742,31628.328791434924,42663.45270676657,Brunei Dollar,BND
BTN,9347.826453927571,3360.2668668902934,229806.97089319373,Ngultrum,BTN
BTN,9347.826453927571,3360.2668668902934,229806.97089319373,Indian Rupee,INR
BWA,16518.233406227475,8258.641665746905,84231.53807728583,Pula,BWP
CAF,763.0411996405874,475.7212505443178,264366.7667657371,CFA Franc BEAC,XAF
CAN,44078.06559563608,46232.98962269671,59908.451562815644,Canadian Dollar,CAD
CEB,27832.286722649693,15929.004063351998,NA,NA,NA
CHE,59317.32399006391,82796.5471631285,80965.36352837061,WIR Euro,CHE
CHE,59317.32399006391,82796.5471631285,80965.36352837061,Swiss Franc,CHF
CHE,59317.32399006391,82796.5471631285,80965.36352837061,WIR Franc,CHW
CHL,22873.8070144682,15923.358737538074,10211280.744521432,Unidad de Fomento,CLF
CHL,22873.8070144682,15923.358737538074,10211280.744521432,Chilean Peso,CLP
CHN,16181.777715789975,9770.847087833143,64643.50592002757,Yuan Renminbi,CNY
CIV,3733.047670155001,1715.531332126494,953351.2977204046,CFA Franc BCEAO,XOF
CMR,3358.590924009182,1533.7421397588473,852327.8076740792,CFA Franc BEAC,XAF
COD,827.1382532428045,561.7771823904247,911496.6801922504,Congolese Franc,CDF
COG,5024.08268595301,2147.769461045938,1192656.3817188093,CFA Franc BEAC,XAF
COL,13321.327852734243,6667.790699549797,19708015.641822133,Colombian Peso,COP
COL,13321.327852734243,6667.790699549797,19708015.641822133,Unidad de Valor Real,COU
COM,2585.117413501928,1415.2636223156248,589865.4607231336,Comoro Franc,KMF
CPV,6614.167088071078,3635.4068498233937,339596.4413066626,Cabo Verde Escudo,CVE
CRI,15679.98055775035,12027.365882631564,6939459.361716639,Costa Rican Colon,CRC
CSS,14363.206929685877,9991.016148966757,NA,NA,NA
CUW,24617.081756930864,19567.892435105532,35026.5274588389,Netherlands Antillean Guilder,ANG
CZE,33435.50918065949,23078.57348656913,501495.47864869074,Czech Koruna,CZK
DEU,45936.182712695154,47603.02763287565,40328.63623424689,Euro,EUR
DMA,9875.78888744891,7691.34509727878,20766.631762652705,East Caribbean Dollar,XCD
DNK,48419.43788300398,61350.347909398646,387404.05947722495,Danish Krone,DKK
DOM,15748.384306532216,8050.631601846355,398586.7131025566,Dominican Peso,DOP
DZA,13737.35606250577,4114.715061368957,479750.26492223993,Algerian Dinar,DZD
EAP,14297.92549976703,7822.854804043304,NA,NA,NA
EAR,9121.420415683688,3581.9178286263523,NA,NA,NA
EAS,17244.834091871897,11142.591225616852,NA,NA,NA
ECA,19931.947672236663,8163.517105209993,NA,NA,NA
ECS,30683.892402804795,25107.274415463147,NA,NA,NA
ECU,10412.199269217163,6344.871978500566,6344.871978500566,US Dollar,USD
EGY,11013.735492547426,2549.1322517860917,45084.717744764355,Egyptian Pound,EGP
EMU,40037.60800410183,39927.617586329354,NA,NA,NA
ESP,34830.544442872226,30370.89232522466,25729.806056444657,Euro,EUR
EST,31035.393619421655,23266.34627187514,19710.931467108392,Euro,EUR
ETH,1794.2908057769137,772.3135302613568,20163.716110769557,Ethiopian Birr,ETB
EUU,38155.67311199776,36569.73381723358,NA,NA,NA
FCS,4134.690992005608,1632.9145768120575,NA,NA,NA
FIN,42060.80412227699,50152.340141130284,42488.379046945935,Euro,EUR
FJI,9653.61837293358,6266.967965280741,13081.668930727019,Fiji Dollar,FJD
FRA,39555.544662753426,41463.64402270341,35127.43411267972,Euro,EUR
FSM,3152.715404268722,3568.290829360982,3568.290829360982,US Dollar,USD
GAB,15861.585355419658,7952.525892776509,4419481.071970367,CFA Franc BEAC,XAF
GBR,40522.24660790195,42943.902269805294,32189.960590618677,Pound Sterling,GBP
GEO,10651.942086966696,4717.1430257357715,11953.71214151702,Lari,GEL
GHA,4211.845783053444,2202.312164425038,10098.261967538128,Ghana Cedi,GHS
GIN,2222.630126298413,878.599613250501,7917179.023068364,Guinea Franc,GNF
GMB,2317.6902167783783,716.1184889791263,34482.0361983806,Dalasi,GMD
GNB,1596.3554601263922,736.7255662317834,432331.7334102696,CFA Franc BCEAO,XOF
GNQ,20181.13296431924,10261.760011688704,5702813.0430398155,CFA Franc BEAC,XAF
GRC,25140.703137265922,20324.25356414775,17218.43062257333,Euro,EUR
GRD,13804.577409071346,10640.49676033095,28729.341252893566,East Caribbean Dollar,XCD
GTM,7508.864463214561,4549.01008110721,34204.91660186133,Quetzal,GTQ
GUY,7667.130489920277,4979.002188398858,1034221.9038669891,Guyana Dollar,GYD
HIC,44896.31029707783,44786.57966213489,NA,NA,NA
HKG,57318.05782766111,48675.6164599767,381543.81962152733,Hong Kong Dollar,HKD
HND,4559.736508352576,2500.1132128602317,59759.456093034256,Lempira,HNL
HPC,2245.5006554829984,934.4110530680637,NA,NA,NA
HRV,23664.14522913542,14909.693186085386,93617.96351543014,Kuna,HRK
HTI,1656.2939037331585,868.3420246940705,56802.9408821725,Gourde,HTG
HTI,1656.2939037331585,868.3420246940705,56802.9408821725,US Dollar,USD
HUN,28464.560199108644,16161.98051019179,4367155.690293112,Forint,HUF
IBD,13079.084250754862,6385.46162560212,NA,NA,NA
IBT,10643.959813798438,5098.534273798253,NA,NA,NA
IDA,3601.2220635318936,1359.2418597635233,NA,NA,NA
IDB,4981.653770344927,1787.9151995132092,NA,NA,NA
IDN,11605.85533495791,3893.596077572392,55432889.0683182,Rupiah,IDR
IDX,2881.686859395644,1139.5922782278471,NA,NA,NA
IND,6888.188467644515,2009.978857270392,140543.5506390319,Indian Rupee,INR
IRL,70855.32723968393,78806.431996268,66763.735143214,Euro,EUR
IRQ,15471.245286338482,5834.166210760614,6895984.461119046,Iraqi Dinar,IQD
ISL,48605.577066233185,73191.11631543365,7926610.801040235,Iceland Krona,ISK
ISR,33609.02306186692,41715.02928404322,149780.23740966702,New Israeli Sheqel,ILS
ITA,35828.48628052672,34483.20399920433,29213.70046040558,Euro,EUR
JAM,8275.769452315993,5354.236858770302,690008.5353450171,Jamaican Dollar,JMD
JOR,8410.85607171098,4241.788782138538,3011.670035318362,Jordanian Dinar,JOD
JPN,39293.691582344116,39289.95843463575,4338522.1265305765,Yen,JPY
KAZ,24738.36283196744,9812.601136540672,3382460.5248521613,Tenge,KZT
