country,iso3,movement_national,movement_partial,school,workplace,social,source
Italy,ITA,20200309,20200221,20200304,20200310,,oxGRT
Denmark,DNK,20200313,-,20200313,20200318,,oxGRT
Bulgaria,BGR,20200313,-,20200305,-,,oxGRT
Spain,ESP,20200314,-,20200316,20200403,,oxGRT
Luxembourg,LUX,20200315,-,20200316,20200317,,oxGRT
Austria,AUT,20200316,20200313,20200316,20200316,,oxGRT
Czechia,CZE,20200316,-,20200311,20200314,,oxGRT
France,FRA,20200317,-,20200316,20200317,,oxGRT
Croatia,HRV,20200317,20200229,20200313,20200318,,oxGRT
Belgium,BEL,20200318,-,20200314,20200314,,oxGRT
Malaysia,MYS,20200318,,,,20200318,Isabella
Slovenia,SVN,20200320,-,20200316,20200312,,oxGRT
Serbia,SRB,20200321,-,20200316,20200321,,oxGRT
Germany,DEU,20200322,20200320,20200316,-,,oxGRT
Thailand,THL,20200326,,,,20200310,Isabella
East Timor,TLS,20200329,,,,,Isabella
Laos,LAO,20200330,,,,,Isabella
Singapore,SGP,20200407,,,,20200307,Isabella
Brunei,BRN,,,,,20200317,Isabella
Cambodia,KHM,,,,,20200316,Isabella
Indonesia,IDN,,20200330,,,20200315,Isabella
Myanmar,MMR,,20200324,,,20200313,Isabella
Philippines,PHL,,20200315,,,,Isabella
Vietnam,VNM,,20200213,,,,Isabella
India,IND,20200325,20200322,20200318,20200325,,oxGRT
Aruba,ABW,20200329,-,20200316,-,,oxGRT
Afghanistan,AFG,-,20200324,20200314,-,,oxGRT
Angola,AGO,20200327,-,20200325,20200327,,oxGRT
Albania,ALB,-,20200312,20200309,-,,oxGRT
Andorra,AND,20200325,-,20200316,20200325,,oxGRT
United Arab Emirates,ARE,20200326,-,20200308,20200329,,oxGRT
Argentina,ARG,20200320,-,20200316,20200409,,oxGRT
Australia,AUS,-,20200319,-,-,,oxGRT
Austria,AUT,20200316,20200313,20200316,20200316,,oxGRT
Azerbaijan,AZE,20200331,20200317,20200303,20200331,,oxGRT
Burundi,BDI,-,-,-,-,,oxGRT
Belgium,BEL,20200318,-,20200314,20200314,,oxGRT
Burkina Faso,BFA,20200321,-,20200316,-,,oxGRT
Bangladesh,BGD,20200326,20200319,20200316,20200326,,oxGRT
Bulgaria,BGR,20200313,-,20200305,-,,oxGRT
Bahrain,BHR,-,-,20200226,20200326,,oxGRT
Bosnia and Herzegovina,BIH,20200321,-,20200317,20200317,,oxGRT
Belize,BLZ,20200320,-,20200320,-,,oxGRT
Bermuda,BMU,20200326,20200325,20200321,20200323,,oxGRT
Bolivia,BOL,-,20200320,20200313,-,,oxGRT
Brazil,BRA,-,20200317,-,-,,oxGRT
Barbados,BRB,20200403,20200405,20200325,20200328,,oxGRT
Brunei,BRN,-,-,20200311,-,,oxGRT
Botswana,BWA,20200402,-,20200320,20200402,,oxGRT
Canada,CAN,-,20200320,20200320,20200401,,oxGRT
Switzerland,CHE,-,-,20200313,20200317,,oxGRT
Chile,CHL,-,20200325,20200315,-,,oxGRT
China,CHN,-,20200123,20200126,20200126,,oxGRT
Cameroon,CMR,-,-,20200318,-,,oxGRT
Democratic Republic of Congo,COD,20200324,20200318,20200319,-,,oxGRT
Colombia,COL,20200325,-,20200316,20200325,,oxGRT
Costa Rica,CRI,20200324,-,20200312,20200310,,oxGRT
Cuba,CUB,20200320,-,-,-,,oxGRT
Cyprus,CYP,20200324,-,20200313,-,,oxGRT
Czech Republic,CZE,20200316,-,20200311,20200314,,oxGRT
Germany,DEU,20200322,20200320,20200316,-,,oxGRT
Djibouti,DJI,20200323,-,20200319,20200322,,oxGRT
Denmark,DNK,20200313,-,20200313,20200318,,oxGRT
Dominican Republic,DOM,20200320,20200409,-,-,,oxGRT
Algeria,DZA,20200405,20200323,20200312,-,,oxGRT
Ecuador,ECU,20200317,-,20200313,20200317,,oxGRT
Egypt,EGY,20200319,-,20200319,20200409,,oxGRT
Spain,ESP,20200314,-,20200316,20200403,,oxGRT
Estonia,EST,-,20200326,20200312,20200325,,oxGRT
Finland,FIN,-,20200328,20200318,20200316,,oxGRT
France,FRA,20200317,-,20200316,20200317,,oxGRT
United Kingdom,GBR,20200323,-,20200323,20200324,,oxGRT
Ghana,GHA,-,20200330,20200316,-,,oxGRT
Gambia,GMB,20200318,-,-,-,,oxGRT
Greece,GRC,20200323,20200321,20200311,-,,oxGRT
Greenland,GRL,-,-,20200323,20200410,,oxGRT
Guatemala,GTM,20200317,20200306,20200315,20200317,,oxGRT
Guam,GUM,20200409,-,20200409,-,,oxGRT
Guyana,GUY,20200403,-,20200316,20200403,,oxGRT
Hong Kong,HKG,20200329,-,20200125,20200129,,oxGRT
Honduras,HND,20200319,-,20200313,20200401,,oxGRT
Croatia,HRV,20200317,20200229,20200313,20200318,,oxGRT
Hungary,HUN,20200328,-,20200311,-,,oxGRT
Indonesia,IDN,-,-,20200316,-,,oxGRT
India,IND,20200325,20200322,20200318,20200325,,oxGRT
Ireland,IRL,-,-,20200320,20200320,,oxGRT
Iran,IRN,20200305,-,20200305,-,,oxGRT
Iraq,IRQ,-,20200221,20200227,20200322,,oxGRT
Iceland,ISL,-,-,20200317,-,,oxGRT
Israel,ISR,20200320,-,20200313,20200318,,oxGRT
Italy,ITA,20200309,20200221,20200304,20200310,,oxGRT
Jamaica,JAM,-,-,20200313,20200318,,oxGRT
Jordan,JOR,20200318,-,20200315,20200321,,oxGRT
Japan,JPN,-,-,-,-,,oxGRT
Kazakhstan,KAZ,-,20200319,20200316,-,,oxGRT
Kenya,KEN,20200415,-,20200315,-,,oxGRT
Kyrgyz Republic,KGZ,-,20200325,20200316,-,,oxGRT
South Korea,KOR,20200321,-,20200223,-,,oxGRT
Kuwait,KWT,20200322,-,20200301,-,,oxGRT
Laos,LAO,20200330,-,20200329,20200331,,oxGRT
Lebanon,LBN,20200316,-,20200301,20200318,,oxGRT
Libya,LBY,20200321,-,20200314,-,,oxGRT
Sri Lanka,LKA,20200321,20200318,20200313,20200316,,oxGRT
Lesotho,LSO,20200403,-,-,-,,oxGRT
Luxembourg,LUX,20200315,-,20200316,20200317,,oxGRT
Macao,MAC,-,-,20200129,20200203,,oxGRT
Morocco,MAR,-,20200313,20200316,20200319,,oxGRT
Madagascar,MDG,20200321,-,20200321,20200321,,oxGRT
Mexico,MEX,-,-,20200323,20200326,,oxGRT
Mali,MLI,20200325,-,20200319,-,,oxGRT
Myanmar,MMR,-,20200401,-,20200326,,oxGRT
Mongolia,MNG,-,20200221,20200127,20200411,,oxGRT
Mozambique,MOZ,20200401,-,20200324,-,,oxGRT
Mauritania,MRT,20200329,-,20200316,-,,oxGRT
Mauritius,MUS,20200323,-,20200319,20200320,,oxGRT
Malawi,MWI,-,-,20200407,-,,oxGRT
Malaysia,MYS,20200318,-,20200318,20200318,,oxGRT
Namibia,NAM,-,20200327,20200317,-,,oxGRT
Niger,NER,-,20200328,20200320,-,,oxGRT
Nigeria,NGA,-,20200329,20200323,-,,oxGRT
Nicaragua,NIC,-,-,-,-,,oxGRT
Netherlands,NLD,20200323,-,20200315,20200315,,oxGRT
Norway,NOR,20200407,20200316,20200312,20200407,,oxGRT
New Zealand,NZL,20200326,-,20200326,20200323,,oxGRT
Oman,OMN,20200318,20200403,20200315,20200401,,oxGRT
Pakistan,PAK,20200324,20200227,20200313,20200324,,oxGRT
Panama,PAN,-,-,20200312,20200313,,oxGRT
Peru,PER,20200316,-,20200402,20200316,,oxGRT
Philippines,PHL,20200302,20200317,20200313,20200228,,oxGRT
Papua New Guinea,PNG,20200324,20200331,20200323,20200405,,oxGRT
Poland,POL,20200331,-,20200312,20200313,,oxGRT
Puerto Rico,PRI,20200315,20200312,20200314,20200315,,oxGRT
Portugal,PRT,20200410,-,20200313,20200414,,oxGRT
Paraguay,PRY,20200316,-,20200310,20200313,,oxGRT
Qatar,QAT,-,20200311,20200310,20200317,,oxGRT
Romania,ROU,20200323,-,20200311,20200321,,oxGRT
Russia,RUS,20200319,20200305,20200323,20200330,,oxGRT
Rwanda,RWA,20200415,20200321,20200316,-,,oxGRT
Saudi Arabia,SAU,20200325,20200308,20200309,-,,oxGRT
Sudan,SDN,20200324,-,-,-,,oxGRT
Singapore,SGP,-,-,20200408,-,,oxGRT
Sierra Leone,SLE,20200405,-,20200331,20200405,,oxGRT
El Salvador,SLV,20200321,20200317,20200312,20200321,,oxGRT
San Marino,SMR,-,-,20200223,-,,oxGRT
Serbia,SRB,20200321,-,20200316,20200321,,oxGRT
South Sudan,SSD,-,-,20200320,20200325,,oxGRT
Slovak Republic,SVK,-,20200408,20200316,-,,oxGRT
Slovenia,SVN,20200320,-,20200316,20200312,,oxGRT
Sweden,SWE,-,-,-,-,,oxGRT
Eswatini,SWZ,-,-,20200317,-,,oxGRT
Seychelles,SYC,20200408,-,20200323,20200408,,oxGRT
Syria,SYR,20200401,20200325,20200314,20200322,,oxGRT
Chad,TCD,-,20200402,20200319,-,,oxGRT
Thailand,THA,20200403,20200330,20200318,-,,oxGRT
Trinidad and Tobago,TTO,20200330,-,20200314,20200330,,oxGRT
Tunisia,TUN,20200322,20200318,20200316,20200322,,oxGRT
Turkey,TUR,20200321,20200315,20200316,-,,oxGRT
Tanzania,TZA,-,20200328,20200318,-,,oxGRT
Uganda,UGA,20200331,-,20200320,20200325,,oxGRT
Ukraine,UKR,20200312,-,20200312,20200317,,oxGRT
Uruguay,URY,-,-,20200315,-,,oxGRT
United States,USA,-,20200319,-,-,,oxGRT
Uzbekistan,UZB,20200327,20200324,20200316,20200320,,oxGRT
Venezuela,VEN,20200317,20200316,20200316,20200317,,oxGRT
Vietnam,VNM,20200325,20200213,20200215,20200327,,oxGRT
South Africa,ZAF,20200326,-,20200318,20200325,,oxGRT
Zambia,ZMB,-,20200414,20200320,-,,oxGRT
Zimbabwe,ZWE,20200330,-,20200324,20200330,,oxGRT
Taiwan,TWN,-,-,20200202,-,,oxGRT
Kosovo,RKS,-,20200313,20200312,-,,oxGRT
,,-,-,-,-,,oxGRT
